"data","KWh","ora","ora_bis","luce","apertura"
2018-01-01,16.2,0,"00:00:00",0,0
2018-01-01,16.5,1500,"00:15:00",0,0
2018-01-01,15.6,3000,"00:30:00",0,0
2018-01-01,16.2,4500,"00:45:00",0,0
2018-01-01,16.5,10000,"01:00:00",0,0
2018-01-01,15.75,11500,"01:15:00",0,0
2018-01-01,16.35,13000,"01:30:00",0,0
2018-01-01,15.75,14500,"01:45:00",0,0
2018-01-01,15.9,20000,"02:00:00",0,0
2018-01-01,15.9,21500,"02:15:00",0,0
2018-01-01,15.6,23000,"02:30:00",0,0
2018-01-01,16.65,24500,"02:45:00",0,0
2018-01-01,16.05,30000,"03:00:00",0,0
2018-01-01,16.05,31500,"03:15:00",0,0
2018-01-01,15.6,33000,"03:30:00",0,0
2018-01-01,15.9,34500,"03:45:00",0,0
2018-01-01,16.35,40000,"04:00:00",0,0
2018-01-01,16.05,41500,"04:15:00",0,0
2018-01-01,15.75,43000,"04:30:00",0,0
2018-01-01,16.05,44500,"04:45:00",0,0
2018-01-01,17.55,50000,"05:00:00",0,0
2018-01-01,17.25,51500,"05:15:00",0,0
2018-01-01,16.2,53000,"05:30:00",0,0
2018-01-01,16.05,54500,"05:45:00",0,0
2018-01-01,15.75,60000,"06:00:00",0,0
2018-01-01,15.9,61500,"06:15:00",0,0
2018-01-01,16.2,63000,"06:30:00",0,0
2018-01-01,16.05,64500,"06:45:00",0,0
2018-01-01,15.75,70000,"07:00:00",0,0
2018-01-01,15.6,71500,"07:15:00",0,0
2018-01-01,15.45,73000,"07:30:00",0,1
2018-01-01,16.65,74500,"07:45:00",0,1
2018-01-01,15.75,80000,"08:00:00",0,1
2018-01-01,15.6,81500,"08:15:00",1,1
2018-01-01,16.05,83000,"08:30:00",1,1
2018-01-01,15.75,84500,"08:45:00",1,1
2018-01-01,16.65,90000,"09:00:00",1,1
2018-01-01,15.45,91500,"09:15:00",1,1
2018-01-01,15.9,93000,"09:30:00",1,1
2018-01-01,15.9,94500,"09:45:00",1,1
2018-01-01,16.05,1e+05,"10:00:00",1,1
2018-01-01,16.5,101500,"10:15:00",1,1
2018-01-01,15.75,103000,"10:30:00",1,1
2018-01-01,15.75,104500,"10:45:00",1,1
2018-01-01,15.75,110000,"11:00:00",1,1
2018-01-01,15.75,111500,"11:15:00",1,1
2018-01-01,16.05,113000,"11:30:00",1,1
2018-01-01,16.2,114500,"11:45:00",1,1
2018-01-01,15.9,120000,"12:00:00",1,1
2018-01-01,16.5,121500,"12:15:00",1,1
2018-01-01,15.6,123000,"12:30:00",1,1
2018-01-01,16.35,124500,"12:45:00",1,1
2018-01-01,15.9,130000,"13:00:00",1,1
2018-01-01,15.9,131500,"13:15:00",1,1
2018-01-01,15.9,133000,"13:30:00",1,1
2018-01-01,15.75,134500,"13:45:00",1,1
2018-01-01,16.65,140000,"14:00:00",1,1
2018-01-01,16.2,141500,"14:15:00",1,1
2018-01-01,15.9,143000,"14:30:00",1,1
2018-01-01,16.35,144500,"14:45:00",1,1
2018-01-01,16.5,150000,"15:00:00",1,1
2018-01-01,16.8,151500,"15:15:00",1,1
2018-01-01,15.75,153000,"15:30:00",1,1
2018-01-01,16.2,154500,"15:45:00",1,1
2018-01-01,15.75,160000,"16:00:00",1,1
2018-01-01,16.05,161500,"16:15:00",1,1
2018-01-01,16.5,163000,"16:30:00",1,1
2018-01-01,15.9,164500,"16:45:00",1,1
2018-01-01,15.75,170000,"17:00:00",0,1
2018-01-01,15.9,171500,"17:15:00",0,1
2018-01-01,15.6,173000,"17:30:00",0,1
2018-01-01,16.8,174500,"17:45:00",0,1
2018-01-01,15.9,180000,"18:00:00",0,1
2018-01-01,15.9,181500,"18:15:00",0,1
2018-01-01,15.9,183000,"18:30:00",0,1
2018-01-01,16.65,184500,"18:45:00",0,1
2018-01-01,17.25,190000,"19:00:00",0,1
2018-01-01,15.3,191500,"19:15:00",0,1
2018-01-01,15.75,193000,"19:30:00",0,1
2018-01-01,15.9,194500,"19:45:00",0,1
2018-01-01,16.2,2e+05,"20:00:00",0,1
2018-01-01,16.35,201500,"20:15:00",0,1
2018-01-01,15.9,203000,"20:30:00",0,1
2018-01-01,15.9,204500,"20:45:00",0,0
2018-01-01,16.05,210000,"21:00:00",0,0
2018-01-01,16.05,211500,"21:15:00",0,0
2018-01-01,16.35,213000,"21:30:00",0,0
2018-01-01,16.05,214500,"21:45:00",0,0
2018-01-01,16.65,220000,"22:00:00",0,0
2018-01-01,15.9,221500,"22:15:00",0,0
2018-01-01,16.35,223000,"22:30:00",0,0
2018-01-01,16.05,224500,"22:45:00",0,0
2018-01-01,16.05,230000,"23:00:00",0,0
2018-01-01,15.75,231500,"23:15:00",0,0
2018-01-01,16.05,233000,"23:30:00",0,0
2018-01-01,16.65,234500,"23:45:00",0,0
2018-01-02,15.9,0,"00:00:00",0,0
2018-01-02,16.05,1500,"00:15:00",0,0
2018-01-02,15.6,3000,"00:30:00",0,0
2018-01-02,16.35,4500,"00:45:00",0,0
2018-01-02,16.95,10000,"01:00:00",0,0
2018-01-02,16.35,11500,"01:15:00",0,0
